邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Heart,138,63.64000000000001,0.4611594202898551,2.19,0.119
Branchial arch_1_16_Target,93,51.304,0.5516559139784947,2.058,0.122
Notochord,119,50.33800000000001,0.4230084033613446,1.173,0.099
AGM,110,42.968,0.39061818181818186,1.432,0.125
Neural crest,85,36.765000000000015,0.43252941176470605,0.936,0.146
Sclerotome,44,33.033,0.75075,1.714,0.425
Branchial arch,69,33.02700000000001,0.4786521739130436,1.824,0.171
Brain,79,31.326000000000004,0.3965316455696203,1.225,0.102
Liver,42,21.056999999999995,0.5013571428571427,1.525,0.136
Cavity,4,1.2349999999999999,0.30874999999999997,0.538,0.109
