邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度,细胞接收平均强度,细胞发送平均强度
Heart,72,138,210,37.620999999999995,63.64000000000001,101.261,0.5225138888888888,0.4611594202898551,0.48219523809523807,0.8264935064935066,0.4885844155844155
Notochord,85,119,204,45.39,50.33800000000001,95.72800000000001,0.534,0.4230084033613446,0.46925490196078434,0.6537402597402598,0.5894805194805195
Branchial arch_1_16_Target,82,93,175,39.551,51.304,90.855,0.48232926829268297,0.5516559139784947,0.5191714285714286,0.6662857142857143,0.5136493506493507
AGM,76,110,186,38.245000000000005,42.968,81.21300000000001,0.5032236842105263,0.39061818181818186,0.43662903225806454,0.5580259740259741,0.49668831168831173
Branchial arch,69,69,138,33.02700000000001,33.02700000000001,66.05400000000002,0.4786521739130436,0.4786521739130436,0.4786521739130436,0.42892207792207804,0.42892207792207804
Brain,69,79,148,33.335,31.326000000000004,64.661,0.4831159420289855,0.3965316455696203,0.43689864864864864,0.4068311688311689,0.43292207792207793
Neural crest,59,85,144,26.357000000000003,36.765000000000015,63.122000000000014,0.4467288135593221,0.43252941176470605,0.43834722222222233,0.47746753246753265,0.3422987012987013
Sclerotome,14,44,58,11.749999999999998,33.033,44.783,0.8392857142857142,0.75075,0.7721206896551724,0.429,0.15259740259740256
Liver,37,42,79,18.953,21.056999999999995,40.00999999999999,0.5122432432432432,0.5013571428571427,0.5064556962025315,0.2734675324675324,0.24614285714285714
Cavity,8,4,12,3.848,1.2349999999999999,5.083,0.481,0.30874999999999997,0.42358333333333337,0.016038961038961037,0.04997402597402597
