邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,FN1_integrin_aVb3_complex,Cavity,FN1,integrin,0.705,0.027
AGM,发送,2,VEGFB_NRP1,Cavity,VEGFB,NRP1,0.684,0.015
AGM,发送,3,NTN1_UNC5B,Cavity,NTN1,UNC5B,0.683,0.021
AGM,发送,4,VEGFA_NRP1,Cavity,VEGFA,NRP1,0.616,0.017
AGM,发送,5,SDC2_ADGRA2,Cavity,SDC2,ADGRA2,0.534,0.028
AGM,发送,6,LAMC1_integrin_aVb3_complex,Cavity,LAMC1,integrin,0.491,0.009
AGM,发送,7,VTN_integrin_aVb3_complex,Cavity,VTN,integrin,0.451,0.002
AGM,发送,8,MMP2_integrin_aVb3_complex,Cavity,MMP2,integrin,0.425,0.005
AGM,接收,1,IGF2_IGF1R,Cavity,IGF1R,IGF2,1.804,0.041
AGM,接收,2,COL3A1_ADGRG1,Cavity,ADGRG1,COL3A1,1.293,0.028
AGM,接收,3,NGF_SORT1,Cavity,SORT1,NGF,0.276,0.004
AGM,接收,4,ANXA1_FPR2,Cavity,FPR2,ANXA1,0.27,0.019
Brain,发送,1,LRFN4_PTPRF,Cavity,LRFN4,PTPRF,0.741,0.017
Brain,发送,2,NTN1_DCC,Cavity,NTN1,DCC,0.558,0.0
Brain,发送,3,WNT5A_SFRP2,Cavity,WNT5A,SFRP2,0.478,0.0
Brain,发送,4,WNT5A_SFRP1,Cavity,WNT5A,SFRP1,0.47,0.033
Brain,发送,5,WNT5B_SFRP2,Cavity,WNT5B,SFRP2,0.453,0.0
Brain,发送,6,WNT5B_SFRP1,Cavity,WNT5B,SFRP1,0.445,0.0
Brain,发送,7,JAG1_NOTCH1,Cavity,JAG1,NOTCH1,0.408,0.0
Brain,发送,8,NTN1_UNC5C,Cavity,NTN1,UNC5C,0.407,0.009
Brain,发送,9,DLL1_NOTCH1,Cavity,DLL1,NOTCH1,0.405,0.001
Brain,发送,10,SHH_PTCH_CDON_transmembrane_receptor,Cavity,SHH,PTCH,0.383,0.002
Brain,接收,1,EFNB1_EPHB2,Cavity,EPHB2,EFNB1,0.385,0.005
Brain,接收,2,DLL1_NOTCH3,Cavity,NOTCH3,DLL1,0.307,0.0
Brain,接收,3,DLL3_NOTCH3,Cavity,NOTCH3,DLL3,0.234,0.012
Brain,接收,4,WNT7B_FZD10_LRP6,Cavity,FZD10,WNT7B,0.23,0.017
Branchial arch,发送,1,NTN1_UNC5C,Cavity,NTN1,UNC5C,0.687,0.0
Branchial arch,发送,2,SLIT2_ROBO1,Cavity,SLIT2,ROBO1,0.516,0.014
Branchial arch,发送,3,SLIT2_ROBO2,Cavity,SLIT2,ROBO2,0.506,0.0
Branchial arch,发送,4,NTN1_UNC5B,Cavity,NTN1,UNC5B,0.48,0.0
Branchial arch,发送,5,SHH_PTCH_GAS1_transmembrane_receptor,Cavity,SHH,PTCH,0.456,0.002
Branchial arch,发送,6,BMP4_BMPR1A_BMPR2,Cavity,BMP4,BMPR1A,0.415,0.0
Branchial arch,发送,7,BMP7_BMPR1A_BMPR2,Cavity,BMP7,BMPR1A,0.411,0.0
Branchial arch,发送,8,VTN_integrin_aVb1_complex,Cavity,VTN,integrin,0.394,0.0
Branchial arch,发送,9,SLIT1_ROBO1,Cavity,SLIT1,ROBO1,0.382,0.0
Branchial arch,发送,10,PDGFC_PDGFRA,Cavity,PDGFC,PDGFRA,0.372,0.0
Branchial arch,接收,1,IGF2_IGF1R,Cavity,IGF1R,IGF2,1.704,0.0
Branchial arch,接收,2,IGF2_IGF2R,Cavity,IGF2R,IGF2,1.684,0.0
Branchial arch,接收,3,DLK1_NOTCH1,Cavity,NOTCH1,DLK1,1.173,0.0
Branchial arch,接收,4,DLK1_NOTCH3,Cavity,NOTCH3,DLK1,1.14,0.0
Branchial arch,接收,5,DLK1_NOTCH2,Cavity,NOTCH2,DLK1,1.129,0.0
Branchial arch,接收,6,FN1_integrin_aVb1_complex,Cavity,integrin,FN1,0.843,0.004
Branchial arch,接收,7,FN1_integrin_aVb5_complex,Cavity,integrin,FN1,0.839,0.0
Branchial arch,接收,8,COL3A1_ADGRG1,Cavity,ADGRG1,COL3A1,0.761,0.011
Branchial arch,接收,9,APP_FPR2,Cavity,FPR2,APP,0.598,0.003
Branchial arch,接收,10,APP_TNFRSF21,Cavity,TNFRSF21,APP,0.537,0.003
Dermomyotome,发送,1,CADM1_CADM1,Cavity,CADM1,CADM1,1.116,0.018
Dermomyotome,发送,2,NECTIN2_NECTIN3,Cavity,NECTIN2,NECTIN3,0.873,0.033
Dermomyotome,发送,3,EFNA2_EPHA7,Cavity,EFNA2,EPHA7,0.695,0.033
Dermomyotome,发送,4,JAG1_NOTCH2,Cavity,JAG1,NOTCH2,0.686,0.027
Dermomyotome,发送,5,DLL1_NOTCH2,Cavity,DLL1,NOTCH2,0.683,0.029
Dermomyotome,发送,6,SHH_PTCH_CDON_transmembrane_receptor,Cavity,SHH,PTCH,0.59,0.009
Dermomyotome,发送,7,SHH_PTCH_GAS1_transmembrane_receptor,Cavity,SHH,PTCH,0.59,0.029
Dermomyotome,发送,8,BMP4_BMR1A_ACR2A,Cavity,BMP4,BMR1A,0.55,0.017
Dermomyotome,发送,9,BMP7_BMR1A_ACR2A,Cavity,BMP7,BMR1A,0.547,0.01
