邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Heart,10,8.562999999999999,0.8562999999999998,1.906,0.235
Mesenchyme,23,8.106000000000002,0.3524347826086957,1.31,0.173
Notochord,11,7.973999999999999,0.7249090909090908,1.074,0.404
Connective tissue,12,6.696,0.5579999999999999,1.373,0.281
Dermomyotome,10,6.013,0.6013,1.278,0.176
Liver,9,5.815,0.6461111111111112,1.021,0.264
Branchial arch,10,3.9219999999999997,0.3922,0.6,0.287
Sclerotome,6,3.231,0.5385,0.998,0.219
Brain,7,2.5589999999999997,0.36557142857142855,0.504,0.321
AGM,2,0.6930000000000001,0.34650000000000003,0.446,0.247
Neural crest,2,0.487,0.2435,0.267,0.22
