邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度,细胞接收平均强度,细胞发送平均强度
Heart,24,30,54,10.749,14.996000000000002,25.745000000000005,0.447875,0.49986666666666674,0.4767592592592593,0.37490000000000007,0.268725
Branchial arch,21,14,35,7.495,4.688999999999999,12.184,0.3569047619047619,0.33492857142857135,0.3481142857142857,0.11722499999999998,0.187375
Connective tissue,7,13,20,3.015,7.489,10.504,0.4307142857142857,0.576076923076923,0.5252,0.187225,0.075375
Neural crest,6,16,22,2.24,7.485,9.725000000000001,0.37333333333333335,0.4678125,0.44204545454545463,0.187125,0.05600000000000001
Dermomyotome,10,12,22,3.2829999999999995,6.324,9.607,0.3282999999999999,0.527,0.43668181818181817,0.1581,0.08207499999999998
Sclerotome,10,7,17,3.4480000000000004,3.5580000000000003,7.006,0.34480000000000005,0.5082857142857143,0.41211764705882353,0.08895,0.08620000000000001
Liver,9,9,18,2.6430000000000002,3.7669999999999995,6.41,0.2936666666666667,0.4185555555555555,0.3561111111111111,0.09417499999999998,0.06607500000000001
Mesenchyme,1,4,5,0.509,3.343,3.852,0.509,0.83575,0.7704,0.083575,0.012725
AGM,6,3,9,1.663,1.691,3.354,0.2771666666666667,0.5636666666666666,0.3726666666666667,0.042275,0.041575
Cavity,1,1,2,0.204,0.204,0.408,0.204,0.204,0.204,0.0050999999999999995,0.0050999999999999995
