邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Heart,152,71.77,0.47217105263157894,2.176,0.105
Neural crest,139,69.02899999999998,0.4966115107913668,1.906,0.145
Neural crest_1_25_Target,144,67.657,0.46984027777777776,1.788,0.138
Notochord,119,58.687999999999995,0.49317647058823527,1.327,0.149
Branchial arch,122,56.447,0.4626803278688525,1.957,0.1
AGM,137,55.196999999999996,0.4028978102189781,1.599,0.115
Sclerotome,105,53.82799999999999,0.5126476190476189,1.175,0.124
Mesenchyme,84,37.83800000000001,0.45045238095238105,1.107,0.175
Brain,98,37.099000000000004,0.37856122448979596,1.173,0.12
Dermomyotome,28,23.982,0.8564999999999999,1.416,0.446
Liver,53,23.047,0.4348490566037736,1.256,0.129
Cavity,6,2.9090000000000003,0.4848333333333334,0.73,0.213
