path_id,length,weight,start_node,end_node,path_string
94,6,276,Sclerotome_1_100,Dermomyotome_1_114,Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_115 -> Dermomyotome_1_114
125,6,264,Sclerotome_1_96,Connective tissue_1_120,Sclerotome_1_96 -> Sclerotome_1_97 -> AGM_1_118 -> AGM_1_117 -> AGM_1_116 -> Connective tissue_1_120
126,5,209,Sclerotome_1_96,Dermomyotome_1_114,Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_115 -> Dermomyotome_1_114
155,6,351,Sclerotome_1_97,Mesenchyme_1_108,Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_108
156,6,253,Sclerotome_1_97,Neural crest_1_110,Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_106 -> Neural crest_1_110
157,5,211,Sclerotome_1_97,Connective tissue_1_120,Sclerotome_1_97 -> AGM_1_118 -> AGM_1_117 -> AGM_1_116 -> Connective tissue_1_120
181,5,272,Dermomyotome_1_105,Mesenchyme_1_108,Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_108
204,6,364,Dermomyotome_1_104,Neural crest_1_9,Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Neural crest_1_9
205,6,364,Dermomyotome_1_104,Neural crest_1_11,Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Neural crest_1_11
206,4,224,Dermomyotome_1_104,Mesenchyme_1_108,Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_108
223,6,357,Branchial arch_1_107,Brain_1_2,Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_5 -> Brain_1_2
224,6,357,Branchial arch_1_107,Brain_1_3,Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_5 -> Brain_1_3
225,6,366,Branchial arch_1_107,Brain_1_41,Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_20 -> Brain_1_41
226,6,383,Branchial arch_1_107,Brain_1_18,Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Notochord_1_21 -> Brain_1_18
227,6,383,Branchial arch_1_107,Cavity_1_43,Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Notochord_1_21 -> Cavity_1_43
228,5,328,Branchial arch_1_107,Neural crest_1_9,Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Neural crest_1_9
