start,end,value
Neural crest_1_71,Neural crest_1_103,42
Neural crest_1_103,Sclerotome_1_100,84
Sclerotome_1_100,Sclerotome_1_96,67
Sclerotome_1_96,Sclerotome_1_97,53
Sclerotome_1_97,Dermomyotome_1_105,79
Dermomyotome_1_105,Dermomyotome_1_104,48
Dermomyotome_1_104,Branchial arch_1_107,36
Branchial arch_1_107,Mesenchyme_1_111,76
Mesenchyme_1_111,Mesenchyme_1_109,112
Mesenchyme_1_109,Neural crest_1_10,78
Neural crest_1_10,Brain_1_5,62
Brain_1_5,Brain_1_7,29
Neural crest_1_10,Brain_1_8,62
Brain_1_8,Brain_1_6,62
Brain_1_6,Brain_1_5,16
Brain_1_5,Brain_1_2,29
Brain_1_5,Brain_1_3,29
Brain_1_8,Brain_1_7,62
Brain_1_7,Brain_1_4,18
Neural crest_1_10,Neural crest_1_9,62
Neural crest_1_10,Neural crest_1_11,62
Brain_1_7,Neural crest_1_14,18
Neural crest_1_14,Brain_1_12,41
Brain_1_26,Brain_1_24,147
Brain_1_24,Notochord_1_23,58
Notochord_1_23,Brain_1_22,28
Brain_1_22,Brain_1_20,32
Brain_1_20,Brain_1_16,38
Notochord_1_23,Notochord_1_21,28
Notochord_1_21,Brain_1_19,55
Brain_1_19,Brain_1_17,90
Notochord_1_21,Brain_1_18,55
Brain_1_24,Brain_1_25,58
Neural crest_1_71,Cavity_1_35,42
Cavity_1_35,Neural crest_1_28,23
Neural crest_1_28,Neural crest_1_57,49
Neural crest_1_31,Neural crest_1_28,21
Neural crest_1_31,Neural crest_1_30,21
Brain_1_25,Notochord_1_52,60
Brain_1_55,Cavity_1_48,73
Cavity_1_48,Cavity_1_49,74
Cavity_1_49,Cavity_1_32,45
Cavity_1_49,Cavity_1_33,45
Cavity_1_32,Cavity_1_34,30
Cavity_1_32,Cavity_1_35,30
Cavity_1_33,Cavity_1_37,21
Cavity_1_37,Cavity_1_39,31
Cavity_1_33,Brain_1_16,21
Brain_1_16,Brain_1_8,68
Neural crest_1_10,Brain_1_20,62
Brain_1_20,Brain_1_41,38
Neural crest_1_10,Notochord_1_21,62
Notochord_1_21,Cavity_1_43,55
Cavity_1_40,Cavity_1_47,14
Cavity_1_47,Cavity_1_44,14
Cavity_1_47,Cavity_1_45,14
Cavity_1_47,Cavity_1_46,14
Brain_1_55,Brain_1_50,73
Brain_1_50,Cavity_1_51,20
Brain_1_55,Brain_1_54,73
Neural crest_1_57,Neural crest_1_58,20
Neural crest_1_57,Neural crest_1_59,20
Neural crest_1_59,Neural crest_1_60,34
Neural crest_1_59,Neural crest_1_61,34
Neural crest_1_71,Neural crest_1_68,42
Neural crest_1_68,Neural crest_1_102,57
Neural crest_1_102,Branchial arch_1_64,25
Branchial arch_1_64,Branchial arch_1_65,16
Branchial arch_1_64,Branchial arch_1_66,16
Branchial arch_1_64,Branchial arch_1_67,16
Neural crest_1_71,Neural crest_1_69,42
Neural crest_1_71,Neural crest_1_70,42
Sclerotome_1_97,AGM_1_118,79
AGM_1_118,AGM_1_117,54
AGM_1_117,AGM_1_116,47
AGM_1_116,AGM_1_121,31
AGM_1_121,AGM_1_123,9
AGM_1_123,Cavity_1_78,37
Cavity_1_78,Cavity_1_76,50
Cavity_1_76,Heart_1_73,32
Heart_1_73,Heart_1_72,71
Cavity_1_76,Heart_1_75,32
Heart_1_75,Heart_1_74,116
Cavity_1_76,Cavity_1_77,32
Cavity_1_78,Cavity_1_79,50
Cavity_1_45,Brain_1_22,19
Cavity_1_40,Cavity_1_80,14
Cavity_1_40,Cavity_1_81,14
Cavity_1_81,Cavity_1_82,18
Cavity_1_81,Cavity_1_83,18
Cavity_1_83,Cavity_1_85,9
Cavity_1_88,Mesenchyme_1_91,11
Cavity_1_90,Mesenchyme_1_95,14
Mesenchyme_1_95,Mesenchyme_1_94,6
AGM_1_98,AGM_1_99,40
Branchial arch_1_107,Mesenchyme_1_106,76
Mesenchyme_1_111,Mesenchyme_1_108,112
Mesenchyme_1_106,Neural crest_1_110,14
Dermomyotome_1_105,Dermomyotome_1_115,48
Dermomyotome_1_115,Dermomyotome_1_114,29
AGM_1_99,AGM_1_119,70
AGM_1_116,Connective tissue_1_120,31
AGM_1_121,Connective tissue_1_122,9
Connective tissue_1_122,Mesenchyme_1_124,46
Connective tissue_1_122,Connective tissue_1_126,46
